Provider,PotentialFraud
PRV51001,NO
PRV51003,YES
PRV51004,NO
PRV51005,YES
PRV51007,NO
PRV51008,NO
PRV51011,NO
PRV51012,NO
PRV51013,NO
PRV51014,NO
PRV51015,NO
PRV51016,NO
PRV51017,NO
PRV51021,YES
PRV51023,NO
PRV51024,NO
PRV51025,NO
PRV51026,NO
PRV51027,NO
PRV51029,NO
PRV51030,NO
PRV51031,NO
PRV51032,NO
PRV51035,NO
PRV51036,NO
PRV51037,YES
PRV51038,NO
PRV51040,NO
PRV51041,NO
PRV51042,NO
PRV51043,NO
PRV51044,NO
PRV51045,NO
PRV51046,NO
PRV51047,NO
PRV51048,NO
PRV51049,NO
PRV51052,YES
PRV51053,NO
PRV51054,NO
PRV51055,NO
PRV51056,NO
PRV51057,NO
PRV51058,NO
PRV51059,YES
PRV51060,NO
PRV51061,NO
PRV51062,NO
PRV51063,NO
PRV51064,YES
PRV51065,NO
PRV51066,NO
PRV51067,YES
PRV51068,NO
PRV51070,NO
PRV51071,NO
PRV51072,NO
PRV51074,NO
PRV51075,NO
PRV51076,NO
PRV51077,YES
PRV51078,NO
PRV51081,NO
PRV51082,NO
PRV51083,NO
PRV51084,YES
PRV51086,NO
PRV51089,NO
PRV51090,NO
PRV51091,NO
PRV51093,NO
PRV51096,NO
PRV51097,NO
PRV51098,NO
PRV51100,NO
PRV51101,NO
PRV51102,NO
PRV51103,YES
PRV51104,NO
PRV51105,NO
PRV51108,NO
PRV51109,NO
PRV51110,NO
PRV51111,NO
PRV51112,NO
PRV51113,NO
PRV51114,NO
PRV51115,NO
PRV51117,NO
PRV51118,NO
PRV51119,YES
PRV51120,NO
PRV51121,NO
PRV51122,NO
PRV51123,NO
PRV51125,NO
PRV51126,YES
PRV51128,NO
PRV51129,NO
PRV51130,NO
PRV51131,NO
PRV51132,NO
PRV51134,NO
PRV51135,NO
PRV51136,NO
PRV51137,NO
PRV51138,NO
PRV51139,NO
PRV51140,NO
PRV51141,NO
PRV51142,NO
PRV51143,NO
PRV51144,NO
PRV51145,YES
PRV51146,YES
PRV51147,NO
PRV51148,YES
PRV51149,YES
PRV51151,NO
PRV51152,NO
PRV51153,NO
PRV51154,NO
PRV51155,NO
PRV51156,NO
PRV51159,YES
PRV51160,NO
PRV51164,NO
PRV51165,NO
PRV51166,NO
PRV51167,NO
PRV51168,NO
PRV51169,NO
PRV51170,YES
PRV51171,NO
PRV51173,YES
PRV51175,NO
PRV51176,NO
PRV51178,YES
PRV51179,NO
PRV51180,NO
PRV51181,NO
PRV51183,NO
PRV51185,NO
PRV51186,NO
PRV51189,NO
PRV51190,NO
PRV51191,NO
PRV51194,NO
PRV51196,NO
PRV51198,NO
PRV51200,NO
PRV51201,NO
PRV51202,NO
PRV51203,NO
PRV51204,NO
PRV51205,NO
PRV51206,NO
PRV51207,NO
PRV51209,NO
PRV51210,NO
PRV51211,NO
PRV51212,NO
PRV51213,NO
