Provider,PotentialFraud,num_inpatient_claims,num_outpatient_claims,total_claims,ip_reimb_mean,ip_reimb_sum,ip_deduct_mean,ip_deduct_sum,op_reimb_mean,op_reimb_sum,op_deduct_mean,op_deduct_sum
PRV51001,No,5,20,25,19400.0,97000.0,1068.0,5340.0,382.0,7640.0,0.0,0.0
PRV51003,Yes,62,70,132,9241.935483870968,573000.0,1068.0,66216.0,466.7142857142857,32670.0,1.0,70.0
PRV51004,No,0,149,149,,,,,350.13422818791946,52170.0,2.0805369127516777,310.0
PRV51005,Yes,0,1165,1165,,,,,241.1244635193133,280910.0,3.1759656652360513,3700.0
PRV51007,No,3,69,72,6333.333333333333,19000.0,1068.0,3204.0,213.18840579710144,14710.0,0.8695652173913043,60.0
PRV51008,No,2,41,43,12500.0,25000.0,1068.0,2136.0,259.2682926829268,10630.0,4.390243902439025,180.0
PRV51011,No,1,57,58,5000.0,5000.0,1068.0,1068.0,204.03508771929825,11630.0,5.2631578947368425,300.0
PRV51012,No,0,48,48,,,,,351.875,16890.0,2.0833333333333335,100.0
PRV51013,No,0,46,46,,,,,323.4782608695652,14880.0,5.0,230.0
PRV51014,No,0,30,30,,,,,349.3333333333333,10480.0,4.0,120.0
PRV51015,No,0,8,8,,,,,87.5,700.0,0.0,0.0
PRV51016,No,0,6,6,,,,,28.333333333333332,170.0,0.0,0.0
PRV51017,No,0,515,515,,,,,277.126213592233,142720.0,2.0388349514563107,1050.0
PRV51021,Yes,29,228,257,9275.862068965518,269000.0,1068.0,30972.0,350.13157894736844,79830.0,2.280701754385965,520.0
PRV51023,No,9,27,36,6000.0,54000.0,1068.0,8544.0,430.0,11610.0,2.962962962962963,80.0
PRV51024,No,9,30,39,6777.777777777777,61000.0,1068.0,9612.0,101.66666666666667,3050.0,3.0,90.0
PRV51025,No,13,74,87,6615.384615384615,86000.0,1068.0,13884.0,437.1621621621622,32350.0,5.405405405405405,400.0
PRV51026,No,0,76,76,,,,,261.05263157894734,19840.0,4.473684210526316,340.0
PRV51027,No,0,53,53,,,,,563.0188679245283,29840.0,0.0,0.0
PRV51029,No,0,93,93,,,,,329.6774193548387,30660.0,1.7204301075268817,160.0
PRV51030,No,82,89,171,8604.878048780487,705600.0,1068.0,86508.0,383.82022471910113,34160.0,2.696629213483146,240.0
PRV51031,No,28,157,185,11750.0,329000.0,1068.0,29904.0,195.6687898089172,30720.0,2.1656050955414012,340.0
PRV51032,No,0,23,23,,,,,235.65217391304347,5420.0,2.1739130434782608,50.0
PRV51035,No,1,29,30,29000.0,29000.0,1068.0,1068.0,122.75862068965517,3560.0,12.413793103448276,360.0
PRV51036,No,0,278,278,,,,,269.3525179856115,74880.0,5.071942446043166,1410.0
PRV51037,Yes,23,431,454,9304.347826086956,214000.0,1068.0,24564.0,297.51740139211137,128230.0,2.2273781902552203,960.0
PRV51038,No,30,111,141,7653.333333333333,229600.0,1068.0,30972.0,323.3333333333333,35890.0,1.981981981981982,220.0
PRV51040,No,9,77,86,7000.0,63000.0,1068.0,8544.0,148.96103896103895,11470.0,3.116883116883117,240.0
PRV51041,No,0,34,34,,,,,217.94117647058823,7410.0,7.9411764705882355,270.0
PRV51042,No,0,142,142,,,,,338.38028169014086,48050.0,2.183098591549296,310.0
PRV51043,No,0,23,23,,,,,194.7826086956522,4480.0,0.0,0.0
PRV51044,No,0,59,59,,,,,361.52542372881356,21330.0,2.2033898305084745,130.0
PRV51045,No,0,31,31,,,,,270.64516129032256,8390.0,1.2903225806451613,40.0
PRV51046,No,8,30,38,12625.0,101000.0,1068.0,8544.0,279.0,8370.0,3.3333333333333335,100.0
PRV51047,No,0,11,11,,,,,230.0,2530.0,0.0,0.0
PRV51048,No,4,34,38,4750.0,19000.0,1068.0,4272.0,255.88235294117646,8700.0,2.3529411764705883,80.0
PRV51049,No,0,71,71,,,,,305.9154929577465,21720.0,2.676056338028169,190.0
PRV51052,Yes,2,44,46,7000.0,14000.0,1068.0,2136.0,381.8181818181818,16800.0,4.7727272727272725,210.0
PRV51053,No,1,0,1,8000.0,8000.0,1068.0,1068.0,,,,
PRV51054,No,0,57,57,,,,,265.43859649122805,15130.0,2.456140350877193,140.0
PRV51055,No,2,20,22,8350.0,16700.0,1068.0,2136.0,247.0,4940.0,3.5,70.0
PRV51056,No,2,20,22,4000.0,8000.0,1068.0,2136.0,335.0,6700.0,0.5,10.0
PRV51057,No,0,5,5,,,,,1366.0,6830.0,0.0,0.0
PRV51058,No,5,78,83,18200.0,91000.0,1068.0,5340.0,205.51282051282053,16030.0,2.5641025641025643,200.0
PRV51059,Yes,25,71,96,16040.0,401000.0,1068.0,26700.0,282.53521126760563,20060.0,3.380281690140845,240.0
PRV51060,No,5,37,42,7000.0,35000.0,1068.0,5340.0,235.40540540540542,8710.0,0.0,0.0
PRV51061,No,1,144,145,3000.0,3000.0,1068.0,1068.0,360.69444444444446,51940.0,1.8055555555555556,260.0
PRV51062,No,3,394,397,15000.0,45000.0,1068.0,3204.0,275.0761421319797,108380.0,1.8781725888324874,740.0
PRV51063,No,0,149,149,,,,,343.02013422818794,51110.0,1.0738255033557047,160.0
PRV51064,Yes,36,267,303,7777.777777777777,280000.0,1068.0,38448.0,300.8239700374532,80320.0,1.8726591760299625,500.0
PRV51065,No,10,18,28,7500.0,75000.0,1068.0,9612.0,87.22222222222223,1570.0,6.111111111111111,110.0
PRV51066,No,2,22,24,9500.0,19000.0,1068.0,2136.0,263.1818181818182,5790.0,4.545454545454546,100.0
PRV51067,Yes,12,46,58,27166.666666666668,326000.0,1068.0,12816.0,185.2173913043478,8520.0,6.086956521739131,280.0
PRV51068,No,9,252,261,8555.555555555555,77000.0,1068.0,8544.0,262.93650793650795,66260.0,1.746031746031746,440.0
PRV51070,No,10,89,99,10100.0,101000.0,1068.0,10680.0,274.2696629213483,24410.0,3.3707865168539324,300.0
PRV51071,No,0,24,24,,,,,356.25,8550.0,2.0833333333333335,50.0
PRV51072,No,12,200,212,6000.0,72000.0,1068.0,11748.0,235.85,47170.0,2.15,430.0
PRV51074,No,5,34,39,6200.0,31000.0,1068.0,5340.0,299.11764705882354,10170.0,2.3529411764705883,80.0
PRV51075,No,0,17,17,,,,,502.94117647058823,8550.0,4.117647058823529,70.0
